a,b,c,e,d,U,W
2,14,2,2.3,2.5,-11.35,3.6979248
2,14,2,2.3,3.7,-11.19,3.778466
2,14,2,2.3,5,-11.04,3.865719
2,14,2,3,2.5,-11.05,3.838872
2,14,2,3,3.7,-10.9,3.9194132
2,14,2,3,5,-10.76,4.0066662
2,14,2.5,1.7,2.5,-11.51,3.7468249
2,14,2.5,1.7,3.7,-11.36,3.8158602
2,14,2.5,1.7,5,-11.22,3.8906485
2,14,2.5,2.3,2.5,-11.21,3.8676367
2,14,2.5,2.3,3.7,-11.07,3.936672
2,14,2.5,2.3,5,-10.94,4.0114603
2,14,2.5,3,2.5,-10.91,4.0085838
2,14,2.5,3,3.7,-10.78,4.0776191
2,14,2.5,3,5,-10.66,4.1524074
2.5,8,1.5,1.7,2.5,-11.8,3.5847836
2.5,8,1.5,1.7,3.7,-11.6,3.6768307
2.5,8,1.5,1.7,5,-11.43,3.7765484
2.5,8,1.5,2.3,2.5,-11.49,3.6998425
2.5,8,1.5,2.3,3.7,-11.32,3.7918896
2.5,8,1.5,2.3,5,-11.16,3.8916073
2.5,8,1.5,3,2.5,-11.2,3.8340778
2.5,8,1.5,3,3.7,-11.03,3.9261249
2.5,8,1.5,3,5,-10.88,4.0258426
2.5,8,2,1.7,2.5,-11.64,3.7544954
2.5,8,2,1.7,3.7,-11.48,3.8350367
2.5,8,2,1.7,5,-11.33,3.9222896
2.5,8,2,2.3,2.5,-11.35,3.8695543
2.5,8,2,2.3,3.7,-11.2,3.9500955
2.5,8,2,2.3,5,-11.06,4.0373485
2.5,8,2,3,2.5,-11.07,4.0037897
2.5,8,2,3,3.7,-10.93,4.0843309
2.5,8,2,3,5,-10.8,4.1715839
2.5,8,2.5,1.7,2.5,-11.51,3.9242073
2.5,8,2.5,1.7,3.7,-11.37,3.9932426
2.5,8,2.5,1.7,5,-11.24,4.0680309
2.5,8,2.5,2.3,2.5,-11.23,4.0392662
2.5,8,2.5,2.3,3.7,-11.1,4.1083015
2.5,8,2.5,2.3,5,-10.98,4.1830898
2.5,8,2.5,3,2.5,-10.96,4.1735015
2.5,8,2.5,3,3.7,-10.84,4.2425369
2.5,8,2.5,3,5,-10.73,4.3173251
2.5,11,1.5,1.7,2.5,-11.69,3.5847836
2.5,11,1.5,1.7,3.7,-11.5,3.6768307
2.5,11,1.5,1.7,5,-11.32,3.7765484
2.5,11,1.5,2.3,2.5,-11.38,3.6998425
2.5,11,1.5,2.3,3.7,-11.21,3.7918896
2.5,11,1.5,2.3,5,-11.04,3.8916073
2.5,11,1.5,3,2.5,-11.08,3.8340778
2.5,11,1.5,3,3.7,-10.92,3.9261249
2.5,11,1.5,3,5,-10.77,4.0258426
2.5,11,2,1.7,2.5,-11.53,3.7544954
2.5,11,2,1.7,3.7,-11.36,3.8350367
2.5,11,2,1.7,5,-11.2,3.9222896
2.5,11,2,2.3,2.5,-11.23,3.8695543
2.5,11,2,2.3,3.7,-11.08,3.9500955
2.5,11,2,2.3,5,-10.94,4.0373485
2.5,11,2,3,2.5,-10.95,4.0037897
2.5,11,2,3,3.7,-10.81,4.0843309
2.5,11,2,3,5,-10.68,4.1715839
2.5,11,2.5,1.7,2.5,-11.39,3.9242073
2.5,11,2.5,1.7,3.7,-11.24,3.9932426
2.5,11,2.5,1.7,5,-11.11,4.0680309
2.5,11,2.5,2.3,2.5,-11.1,4.0392662
2.5,11,2.5,2.3,3.7,-10.97,4.1083015
2.5,11,2.5,2.3,5,-10.85,4.1830898
2.5,11,2.5,3,2.5,-10.83,4.1735015
2.5,11,2.5,3,3.7,-10.71,4.2425369
2.5,11,2.5,3,5,-10.59,4.3173251
2.5,14,1.5,1.7,2.5,-11.64,3.5847836
2.5,14,1.5,1.7,3.7,-11.44,3.6768307
2.5,14,1.5,1.7,5,-11.27,3.7765484
2.5,14,1.5,2.3,2.5,-11.33,3.6998425
2.5,14,1.5,2.3,3.7,-11.15,3.7918896
2.5,14,1.5,2.3,5,-10.99,3.8916073
2.5,14,1.5,3,2.5,-11.04,3.8340778
2.5,14,1.5,3,3.7,-10.87,3.9261249
